transaction_id,timestamp,amount,sender_age,receiver_type,transaction_type,device_id,location,hour,account_age_days,transactions_last_24h,avg_amount_30d,new_receiver,new_device,failed_attempts,distance_from_usual_location_km,fraud_label
TXN0000001,2026-01-01 00:00:00,1152.81,35.0,Person,P2M,DEV06256,Chennai,0,3296,6,590.31,0,0,2,16.1,0
TXN0000002,2026-01-01 00:05:00,300.44,42.0,Person,P2P,DEV03626,Chennai,0,2700,4,306.38,0,0,1,10.6,0
TXN0000003,2026-01-01 00:10:00,1800.26,31.0,Person,BillPayment,DEV02206,Bengaluru,0,3365,4,1371.06,0,0,0,0.6,0
TXN0000004,2026-01-01 00:15:00,2177.21,69.0,Merchant,P2P,DEV00726,Pune,0,3183,5,799.99,0,0,1,15.5,0
TXN0000005,2026-01-01 00:20:00,120.81,40.0,Person,P2M,DEV07759,Pune,0,1533,2,886.76,0,0,0,5.2,0
TXN0000006,2026-01-01 00:25:00,231.15,69.0,Person,P2P,DEV00785,Delhi,0,2842,8,2030.6,0,0,0,5.6,0
TXN0000007,2026-01-01 00:30:00,965.92,19.0,Person,P2P,DEV01379,Kolkata,0,1972,4,620.57,1,0,0,5.9,0
TXN0000008,2026-01-01 00:35:00,619.55,67.0,Person,P2P,DEV01388,Bengaluru,0,2950,7,1567.88,0,0,0,2.7,0
TXN0000009,2026-01-01 00:40:00,835.84,33.0,Person,P2P,DEV06995,Delhi,0,495,5,890.83,0,0,0,8.0,0
TXN0000010,2026-01-01 00:45:00,362.2,67.0,Person,P2P,DEV00725,Pune,0,266,0,1441.28,0,0,0,11.7,0
TXN0000011,2026-01-01 00:50:00,2048.03,41.0,OnlineShopping,BillPayment,DEV00663,Delhi,0,1398,8,1110.43,1,0,0,6.5,0
TXN0000012,2026-01-01 00:55:00,1850.16,53.0,Merchant,P2P,DEV00961,Pune,0,3597,9,1480.28,0,0,0,0.7,0
TXN0000013,2026-01-01 01:00:00,908.02,31.0,Person,P2M,DEV04417,Kolkata,1,1197,6,2706.3,0,0,0,1.0,0
TXN0000014,2026-01-01 01:05:00,2624.06,51.0,OnlineShopping,P2P,DEV00111,Ahmedabad,1,650,9,1022.18,0,0,1,0.6,0
TXN0000015,2026-01-01 01:10:00,1356.61,64.0,Person,P2P,DEV04443,Chennai,1,1075,4,609.84,0,0,1,6.5,0
TXN0000016,2026-01-01 01:15:00,359.94,63.0,OnlineShopping,P2M,DEV08685,Kolkata,1,1375,5,1401.54,0,0,0,2.1,0
TXN0000017,2026-01-01 01:20:00,1229.04,56.0,Utility,P2M,DEV01605,Pune,1,1130,2,280.2,0,0,0,1.5,0
